store,flyer_id,item_id,name,brand,price,original_price,pre_price_text,post_price_text,display_price,sale_story,valid_from,valid_to,page_number,left,top,right,bottom,cutout_image_url
Fiesta Farms,8083591,1033208999,AELO ALCOHOL FREE COCKTAILS,aēlo,13.99,,,,$13.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2429.88,-1421.2,3132.32,-1997.5,http://f.wishabi.net/page_items/430657207/1786685691/extra_large.jpg
Fiesta Farms,8083591,1033209004,AERAS WATER,Aeras,2.0,,,,$2.0,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5179.32,-1066.35,5609.07,-2162.4,http://f.wishabi.net/page_items/430657212/1786685687/extra_large.jpg
Fiesta Farms,8083591,1033208985,ARLA HAVARTI CHEESE,ARLA,10.48,,,,$10.48,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1465.64,-498.38,1870.03,-1074.58,http://f.wishabi.net/page_items/430657193/1786685689/extra_large.jpg
Fiesta Farms,8083591,1033208983,ARTICHOKES,,2.99,,,,$2.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,35.03,-1279.84,726.31,-1504.72,http://f.wishabi.net/page_items/430657191/1786685687/extra_large.jpg
Fiesta Farms,8083591,1033208980,BALDERSON NON AGED CHEESE BARS,BALDERSON,7.99,,,,$7.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,25.92,-2025.4,1866.43,-2556.45,http://f.wishabi.net/page_items/430657188/1786685685/extra_large.jpg
Fiesta Farms,8083591,1033209003,BOUNTY PAPER TOWEL,Bounty,12.99,,,,$12.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3806.0,-1658.59,4571.64,-2172.32,http://f.wishabi.net/page_items/430657211/1786685686/extra_large.jpg
Fiesta Farms,8083591,1033208990,BRANDT BLACK FOREST HAM,Brandt,6.99,,,,$6.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,755.54,-514.87,1343.75,-1088.22,http://f.wishabi.net/page_items/430657198/1786685692/extra_large.jpg
Fiesta Farms,8083591,1033208998,BUNNERS CUPCAKES,BUNNERS,16.49,,,,$16.49,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2977.32,-2041.74,3745.7,-2547.14,http://f.wishabi.net/page_items/430657206/1786685690/extra_large.jpg
Fiesta Farms,8083591,1033208997,"CHOCXO CHOCOLATE CUPS, 98G DARK MILK PASSIONFRUIT OR MILK CHOCOLATE COOKIE BUTTER",CHOCXO,6.99,,,,$6.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3141.53,-1377.67,3745.56,-2035.74,http://f.wishabi.net/page_items/430657205/1786685690/extra_large.jpg
Fiesta Farms,8083591,1033208991,COOL & SIMPLE DUCK FAT POTATOES,Cool & Simple,6.59,,,,$6.59,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1900.04,-638.92,2616.23,-1264.45,http://f.wishabi.net/page_items/430657199/1786685685/extra_large.jpg
Fiesta Farms,8083591,1033209006,COUNTRY HARVEST BAGELS,COUNTRY HARVEST,3.69,,,,$3.69,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4615.43,-1268.66,5166.36,-2178.46,http://f.wishabi.net/page_items/430657214/1786685688/extra_large.jpg
