store,flyer_id,item_id,name,brand,price,original_price,pre_price_text,post_price_text,display_price,sale_story,valid_from,valid_to,page_number,left,top,right,bottom,cutout_image_url
FreshCo,8075629,1032100891,"3 L Basket Field Tomatoes, White Potatoes or Pickling Cucumbers Product of Ontario Canada No. 1",,5.99,,,,$5.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,4791.56,-381.15,5327.12,-932.92,http://f.wishabi.net/page_items/430043236/1786320967/extra_large.jpg
FreshCo,8075629,1032100871,Allen's Apple Juice 1.89 L or Kiju Organic 100% Juice 1 L,Allen's | Kiju,2.99,,,,$2.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,3596.23,-755.97,3964.66,-1078.46,http://f.wishabi.net/page_items/430043216/1786320968/extra_large.jpg
FreshCo,8075629,1032100869,Armstrong Cheese Snacks 210 g Selected Varieties,Armstrong,4.49,,,,$4.49,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,4148.83,-1090.02,4425.49,-1415.29,http://f.wishabi.net/page_items/430043214/1786320967/extra_large.jpg
FreshCo,8075629,1032100822,"Axe Deodorant or Body Spray 76-113 g, Shampoo 473 mL or Body Wash 473 mL",Axe,3.99,,,,$3.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,1777.43,-694.07,2052.84,-994.18,http://f.wishabi.net/page_items/430043167/1786320967/extra_large.jpg
FreshCo,8075629,1032100797,"Bagged Corn 8 pk Product of Ontario, Canada No. 1",,2.99,,,,$2.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,46.87,-713.67,601.24,-1166.97,http://f.wishabi.net/page_items/430043142/1786320961/extra_large.jpg
FreshCo,8075629,1032100937,Baltic Herring Fillets Frozen 1 Kg,Baltic,13.99,,,,$13.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,9327.44,-772.2,9846.05,-1077.35,http://f.wishabi.net/page_items/430043281/1786320973/extra_large.jpg
FreshCo,8075629,1032100939,Baltic Smoked Mackerel Frozen 400 g,Baltic,10.49,,,,$10.49,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,9588.06,-1084.67,9848.17,-1438.6,http://f.wishabi.net/page_items/430043283/1786320975/extra_large.jpg
FreshCo,8075629,1032100863,"Barilla, Catelli Classic, Smart or Healthy Harvest Pasta 375-454 g",Barilla | Catelli,1.99,,,,$1.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,4148.38,-1421.45,4425.15,-1745.41,http://f.wishabi.net/page_items/430043208/1786320963/extra_large.jpg
FreshCo,8075629,1032100866,Baskin Robbins Ice Cream 946 mL or Novelties 4x125 mL,Baskin Robbins,9.99,,,,$9.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,3960.45,-420.43,4329.22,-749.27,http://f.wishabi.net/page_items/430043211/1786320965/extra_large.jpg
FreshCo,8075629,1032100935,Belevini Smoked Sprats 240 g,Belevini,3.79,,,,$3.79,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,8806.0,-1087.04,9068.43,-1435.07,http://f.wishabi.net/page_items/430043279/1786320972/extra_large.jpg
FreshCo,8075629,1032100887,Blue Plums 1.5 L Product of Ontario Canada No. 1,,5.99,,,,$5.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,5325.59,-381.17,5844.91,-922.51,http://f.wishabi.net/page_items/430043232/1786320964/extra_large.jpg
FreshCo,8075629,1032100859,"Blueberries Pint Product of Canada, Canada No. 1 or Raspberries 170 g Product of USA or Mexico",,3.99,,,,$3.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,2410.91,-88.8,2958.38,-414.25,http://f.wishabi.net/page_items/430043204/1786320978/extra_large.jpg
FreshCo,8075629,1032100798,Boneless Skinless Chicken Breasts 4 pieces,,10.0,,,,$10.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,49.33,-253.72,594.99,-710.49,http://f.wishabi.net/page_items/430043143/1786320962/extra_large.jpg
FreshCo,8075629,1032100924,Borjomi Carbonated Natural Mineral Water 500 mL,Borjomi,2.49,,,,$2.49,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,9069.57,-1440.38,9327.3,-1790.7,http://f.wishabi.net/page_items/430043270/1786320965/extra_large.jpg
FreshCo,8075629,1032100932,Borjomi Limonati Mineral Water 330 mL,Borjomi,1.99,,,,$1.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,8808.18,-1440.02,9068.29,-1791.2,http://f.wishabi.net/page_items/430043276/1786320970/extra_large.jpg
