store,flyer_id,item_id,name,brand,price,original_price,pre_price_text,post_price_text,display_price,sale_story,valid_from,valid_to,page_number,left,top,right,bottom,cutout_image_url
Galleria Supermarket,8083040,1033155569,Ataulfo Mango,Mangoes,22.98,,,,$22.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3699.0,-2224.8,4440.4,-2550.96,http://f.wishabi.net/page_items/430642500/1786665789/extra_large.jpg
Galleria Supermarket,8083040,1033155561,Charmjoeun Imitation Crab Sticks,Charmjoeun,6.98,,,,$6.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1966.55,-374.01,2744.54,-735.72,http://f.wishabi.net/page_items/430642492/1786665798/extra_large.jpg
Galleria Supermarket,8083040,1033155584,Chewy Cookies 3 Kinds,unknown,7.98,,,,$7.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5983.05,-828.27,6702.35,-1164.89,http://f.wishabi.net/page_items/430642515/1786665789/extra_large.jpg
Galleria Supermarket,8083040,1033155587,Chocote Jeju Real Tart Snack 4 Kinds,Chocote,1099.0,,,,$1099.0,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,6739.52,-1671.26,7638.83,-2547.03,http://f.wishabi.net/page_items/430642518/1786665792/extra_large.jpg
Galleria Supermarket,8083040,1033155571,Cooked Octopus Sashimi,,32.98,,,,$32.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4453.97,-1611.89,5136.74,-1921.86,http://f.wishabi.net/page_items/430642502/1786665790/extra_large.jpg
Galleria Supermarket,8083040,1033155581,Coscell Vita C 2 Kinds,Coscell,19.98,,,,$19.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5983.18,-2211.85,6702.12,-2548.63,http://f.wishabi.net/page_items/430642512/1786665787/extra_large.jpg
Galleria Supermarket,8083040,1033155543,Darmcot Backed Rice Cake,Darmcot,34.98,,,,$34.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,572.61,-1726.33,1105.48,-2042.95,http://f.wishabi.net/page_items/430642474/1786665794/extra_large.jpg
Galleria Supermarket,8083040,1033155542,Dooraewon Tea 6 Kinds,Dooraewon,6.98,,,,$6.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,573.3,-2049.08,1105.35,-2286.72,http://f.wishabi.net/page_items/430642473/1786665794/extra_large.jpg
Galleria Supermarket,8083040,1033155535,Eobubaegseo Fish Soup 3 Kinds,,17.98,,,,$17.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,583.22,-245.76,1101.24,-490.15,http://f.wishabi.net/page_items/430642466/1786665788/extra_large.jpg
Galleria Supermarket,8083040,1033155547,Eobubaegseo Spicy Stir Fried Squid,Eobubaegseo,24.98,,,,$24.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,580.55,-757.56,1102.76,-1156.13,http://f.wishabi.net/page_items/430642478/1786665798/extra_large.jpg
Galleria Supermarket,8083040,1033155548,Exclusive Discount on Teanbuk Favorites,,,,,,,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1.79,-241.02,571.79,-841.59,http://f.wishabi.net/page_items/430642479/1786665799/extra_large.jpg
Galleria Supermarket,8083040,1033155566,Fisherman Brothers Octopus Squid Mix,Fisherman Brothers,12.98,,,,$12.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4452.27,-1923.97,5137.2,-2241.3,http://f.wishabi.net/page_items/430642497/1786665786/extra_large.jpg
Galleria Supermarket,8083040,1033155564,Fresh Beef LA Short Rib,,23.98,,,,$23.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2760.04,-432.08,3691.43,-886.44,http://f.wishabi.net/page_items/430642495/1786665800/extra_large.jpg
Galleria Supermarket,8083040,1033155574,Fresh Beef Ox Tail (Soup/Stew),,18.98,,,,$18.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5152.82,-150.12,5957.33,-505.66,http://f.wishabi.net/page_items/430642505/1786665792/extra_large.jpg
Galleria Supermarket,8083040,1033155555,Fresh Pork Collar - Butt (Vac),,4.98,,,,$4.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2765.67,-1302.4,3677.59,-1709.07,http://f.wishabi.net/page_items/430642486/1786665792/extra_large.jpg
Galleria Supermarket,8083040,1033155554,Fresh Pork Premium Belly (Grilling),,7.48,,,,$7.48,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2761.75,-896.46,3687.11,-1292.94,http://f.wishabi.net/page_items/430642485/1786665791/extra_large.jpg
Galleria Supermarket,8083040,1033155568,Fresh Sea Bass Sashimi,,32.98,,,,$32.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4453.13,-1311.32,5140.83,-1611.99,http://f.wishabi.net/page_items/430642499/1786665788/extra_large.jpg
Galleria Supermarket,8083040,1033155578,Fresh Sushi Grade Whole Salmon Fillet,,19.98,,,,$19.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4451.66,-715.87,5145.17,-1310.54,http://f.wishabi.net/page_items/430642509/1786665795/extra_large.jpg
Galleria Supermarket,8083040,1033155551,Friends Roasted & Seasoned & Shredded Laver,Friends,5.48,,,,$5.48,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1125.62,-2192.35,1942.46,-2547.15,http://f.wishabi.net/page_items/430642482/1786665789/extra_large.jpg
Galleria Supermarket,8083040,1033155579,Galleria Mat Kimchi,Galleria,35.98,,,,$35.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5159.92,-1513.61,5930.62,-1905.54,http://f.wishabi.net/page_items/430642510/1786665796/extra_large.jpg
Galleria Supermarket,8083040,1033155567,Galleria Seasoned Assorted Veg,Galleria,7.98,,,,$7.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5156.54,-1135.29,5954.27,-1501.44,http://f.wishabi.net/page_items/430642498/1786665787/extra_large.jpg
Galleria Supermarket,8083040,1033155538,Gio Gim Sauce 2 Kinds,Gio,6.98,,,,$6.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,583.48,-492.8,1101.92,-739.16,http://f.wishabi.net/page_items/430642469/1786665790/extra_large.jpg
Galleria Supermarket,8083040,1033155573,Golden Crispy Honey Melon,,29.98,,,,$29.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3701.14,-1884.17,4440.36,-2223.74,http://f.wishabi.net/page_items/430642504/1786665792/extra_large.jpg
Galleria Supermarket,8083040,1033155589,Haitai Snack Baked Nacho Stick,Haitai,7.49,,,,$7.49,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,6748.01,-1151.62,7626.63,-1330.73,http://f.wishabi.net/page_items/430642520/1786665793/extra_large.jpg
Galleria Supermarket,8083040,1033155588,Haitai Snack Baked Nacho Stick,Haitai,1.99,,,,$1.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,6739.78,-314.28,7638.32,-1277.57,http://f.wishabi.net/page_items/430642519/1786665792/extra_large.jpg
Galleria Supermarket,8083040,1033155533,Hwawoodang Manila Clam Kalguksu Noodle,Hwawoodang,9.98,,,,$9.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,584.85,-3.04,1099.56,-242.88,http://f.wishabi.net/page_items/430642464/1786665786/extra_large.jpg
Galleria Supermarket,8083040,1033155544,Hwawoodang Spicy Braised Monkfish,Hwawoodang,12.98,,,,$12.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,576.47,-1393.4,1103.89,-1650.15,http://f.wishabi.net/page_items/430642475/1786665795/extra_large.jpg
Galleria Supermarket,8083040,1033155545,Hwawoodang Spicy Seafood Soup,Hwawoodang,8.98,,,,$8.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,18.19,-2298.23,551.22,-2553.75,http://f.wishabi.net/page_items/430642476/1786665796/extra_large.jpg
Galleria Supermarket,8083040,1033155537,Hwawoong Braised Dried Pollack,Hwawoong,19.98,,,,$19.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,577.76,-1153.85,1104.21,-1390.95,http://f.wishabi.net/page_items/430642468/1786665789/extra_large.jpg
Galleria Supermarket,8083040,1033155539,Hyosong Seasoned Cockle,HyoSong,29.98,,,,$29.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,9.61,-854.96,557.96,-1281.03,http://f.wishabi.net/page_items/430642470/1786665791/extra_large.jpg
Galleria Supermarket,8083040,1033155552,ITC Hello Kitty Toilet Paper Lavender,ITC,18.98,,,,$18.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1947.4,-1816.69,2766.82,-2177.89,http://f.wishabi.net/page_items/430642483/1786665789/extra_large.jpg
Galleria Supermarket,8083040,1033155556,Korean Perilla Leaves,,3.98,,,,$3.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2774.11,-1727.36,3662.49,-2132.91,http://f.wishabi.net/page_items/430642487/1786665793/extra_large.jpg
Galleria Supermarket,8083040,1033155559,Locknlock Metro Double Tumbler 2 Kinds,Locknlock,14.98,,,,$14.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1949.56,-2184.74,2780.68,-2543.75,http://f.wishabi.net/page_items/430642490/1786665796/extra_large.jpg
Galleria Supermarket,8083040,1033155586,Lotte Chocopie 3 Kinds,LOTTE,4.98,,,,$4.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5977.63,-1173.99,6699.58,-1512.81,http://f.wishabi.net/page_items/430642517/1786665791/extra_large.jpg
Galleria Supermarket,8083040,1033155553,NH Seasoned Sliced Squid,NH,24.98,,,,$24.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1965.16,-3.22,2744.13,-369.79,http://f.wishabi.net/page_items/430642484/1786665790/extra_large.jpg
Galleria Supermarket,8083040,1033155570,Nappa & Soy Bean Soup,,9.98,,,,$9.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5159.35,-768.52,5951.9,-1128.29,http://f.wishabi.net/page_items/430642501/1786665789/extra_large.jpg
Galleria Supermarket,8083040,1033155575,New Crop Onions,Unknown,9.98,,,,$9.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4453.72,-3.62,5131.88,-316.79,http://f.wishabi.net/page_items/430642506/1786665793/extra_large.jpg
Galleria Supermarket,8083040,1033155576,New Crop Potatoes,,4.98,,,,$4.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4449.95,-320.78,5135.7,-633.0,http://f.wishabi.net/page_items/430642507/1786665794/extra_large.jpg
Galleria Supermarket,8083040,1033155560,Ontario Watermelon,,6.98,,,,$6.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2782.13,-2148.59,3662.59,-2537.72,http://f.wishabi.net/page_items/430642491/1786665797/extra_large.jpg
Galleria Supermarket,8083040,1033155563,Ottogi Beef Bone Flavoured Soup,Ottogi,19.98,,,,$19.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1121.72,-804.82,1956.87,-1449.25,http://f.wishabi.net/page_items/430642494/1786665799/extra_large.jpg
Galleria Supermarket,8083040,1033155585,Ourhome Sauce 2 Kinds,Ourhome,2.28,,,,$2.28,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5981.84,-479.9,6694.68,-819.47,http://f.wishabi.net/page_items/430642516/1786665790/extra_large.jpg
Galleria Supermarket,8083040,1033155572,Previously Frozen Salted Cutlass Fish,,10.98,,,,$10.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4446.93,-2241.91,5139.32,-2556.09,http://f.wishabi.net/page_items/430642503/1786665791/extra_large.jpg
Galleria Supermarket,8083040,1033155582,Q.One Mix 3 Kinds,Q.One,5.98,,,,$5.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5976.03,-142.37,6691.97,-477.95,http://f.wishabi.net/page_items/430642513/1786665788/extra_large.jpg
Galleria Supermarket,8083040,1033155565,Rhee Chun Fancy Variety Rice,Rhee Chun,37.98,,,,$37.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1121.4,-332.28,1955.31,-802.93,http://f.wishabi.net/page_items/430642496/1786665801/extra_large.jpg
Galleria Supermarket,8083040,1033155577,Salt Bun,,9.98,,,,$9.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5146.82,-1938.37,5959.22,-2558.32,http://f.wishabi.net/page_items/430642508/1786665794/extra_large.jpg
Galleria Supermarket,8083040,1033155550,Samyang Hot Chicken Cup Ramen,Samyang,10.98,,,,$10.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1122.57,-1816.23,1940.77,-2182.42,http://f.wishabi.net/page_items/430642481/1786665788/extra_large.jpg
Galleria Supermarket,8083040,1033155549,Samyang Hot Chicken Flavour Cup Ramen,Samyang,10.98,,,,$10.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1122.27,-1453.75,1937.65,-1805.82,http://f.wishabi.net/page_items/430642480/1786665786/extra_large.jpg
Galleria Supermarket,8083040,1033155546,Seonwunsan NH Raspberry Extract,Seonwunsan,44.98,,,,$44.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,575.81,-2288.51,1105.47,-2536.08,http://f.wishabi.net/page_items/430642477/1786665797/extra_large.jpg
Galleria Supermarket,8083040,1033155558,Sugarloaf Drinkable Konjac Jelly 5 Kinds,Sugarloaf,15.98,,,,$15.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1941.8,-1459.07,2759.02,-1812.82,http://f.wishabi.net/page_items/430642489/1786665795/extra_large.jpg
Galleria Supermarket,8083040,1033155541,The Jeotgal Salted Freshwater Shrimp,,23.98,,,,$23.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,18.33,-1785.7,551.74,-2038.03,http://f.wishabi.net/page_items/430642472/1786665793/extra_large.jpg
Galleria Supermarket,8083040,1033155536,The Jeotgal Salted Sea Squirt,,39.98,,,,$39.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,18.84,-2042.29,550.95,-2295.1,http://f.wishabi.net/page_items/430642467/1786665788/extra_large.jpg
Galleria Supermarket,8083040,1033155534,The Jeotgal Seasoned Salted Guts of Hairtail,,16.98,,,,$16.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,12.28,-1283.91,555.64,-1532.59,http://f.wishabi.net/page_items/430642465/1786665787/extra_large.jpg
Galleria Supermarket,8083040,1033155540,The Jeotgal Seasoned Salted Scallop,,19.98,,,,$19.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,17.37,-1535.99,552.28,-1785.18,http://f.wishabi.net/page_items/430642471/1786665792/extra_large.jpg
Galleria Supermarket,8083040,1033155580,Unknown Item,,,,,,,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5982.39,-1520.41,6698.25,-1867.61,http://f.wishabi.net/page_items/430642511/1786665787/extra_large.jpg
Galleria Supermarket,8083040,1033155557,Yorisa Pancake 2 Kinds,Yorisa,3.98,,,,$3.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1955.19,-1098.25,2742.81,-1451.88,http://f.wishabi.net/page_items/430642488/1786665794/extra_large.jpg
