store,flyer_id,item_id,name,brand,price,original_price,pre_price_text,post_price_text,display_price,sale_story,valid_from,valid_to,page_number,left,top,right,bottom,cutout_image_url
Giant Tiger,8073014,1031752046,227 g whole white mushrooms,,1.67,,,,$1.67,,2026-08-12T00:00:00-04:00,2026-08-18T23:59:59-04:00,,1641.89,-187.14,2168.16,-584.8,http://f.wishabi.net/page_items/429857720/1786467946/extra_large.jpg
Giant Tiger,8073014,1031751987,5 oz baby spinach,,1.97,,,,$1.97,,2026-08-12T00:00:00-04:00,2026-08-18T23:59:59-04:00,,551.42,-1389.73,1073.02,-1806.65,http://f.wishabi.net/page_items/429857701/1786084182/extra_large.jpg
Giant Tiger,8073014,1031751961,5 pack avocados,,2.88,,,,$2.88,,2026-08-12T00:00:00-04:00,2026-08-18T23:59:59-04:00,,549.93,-957.72,1072.57,-1385.89,http://f.wishabi.net/page_items/429857694/1786084179/extra_large.jpg
Giant Tiger,8082579,1033166883,Aqua Star frozen breaded shrimp,Aqua Star,8.97,,,,$8.97,,2026-08-19T00:00:00-04:00,2026-08-25T23:59:59-04:00,,1110.21,-486.26,1394.19,-690.34,http://f.wishabi.net/page_items/430608081/1786684101/extra_large.jpg
Giant Tiger,8082579,1033208379,AquaStar BUTTERFLY CRUNCHY SHRIMP,AquaStar,8.97,,,,$8.97,,2026-08-19T00:00:00-04:00,2026-08-25T23:59:59-04:00,,1432.5,-565.46,1644.5,-820.46,http://f.wishabi.net/page_items/430649668/1786684107/extra_large.jpg
Giant Tiger,8082579,1033208244,Bear Bear Paws,Dare,2.22,,,,$2.22,,2026-08-19T00:00:00-04:00,2026-08-25T23:59:59-04:00,,31.71,-1062.71,288.04,-1267.27,http://f.wishabi.net/page_items/430608043/1786684099/extra_large.jpg
Giant Tiger,8082579,1033208356,Boston Market frozen entree,Boston Market,3.98,,,,$3.98,,2026-08-19T00:00:00-04:00,2026-08-25T23:59:59-04:00,,1646.26,-934.25,2177.02,-1383.05,http://f.wishabi.net/page_items/430608090/1786684105/extra_large.jpg
Giant Tiger,8073014,1031752019,Burnbrae Farms large eggs,Burnbrae Farms,3.93,,,,$3.93,,2026-08-12T00:00:00-04:00,2026-08-18T23:59:59-04:00,,1125.47,-591.12,1647.77,-998.52,http://f.wishabi.net/page_items/429857712/1786467942/extra_large.jpg
Giant Tiger,8082579,1033208389,Campbell's Chunky soup,Campbell's,2.25,,,,$2.25,,2026-08-19T00:00:00-04:00,2026-08-25T23:59:59-04:00,,1969.5,-1412.46,2174.5,-1732.46,http://f.wishabi.net/page_items/430649672/1786684108/extra_large.jpg
Giant Tiger,8082579,1033208364,Catch of the Day frozen fish,Catch of the Day,3.97,,,,$3.97,,2026-08-19T00:00:00-04:00,2026-08-25T23:59:59-04:00,,1649.77,-27.98,2174.54,-494.82,http://f.wishabi.net/page_items/430608094/1786684106/extra_large.jpg
Giant Tiger,8082579,1033208333,Cavendish Farms frozen fries,Cavendish Farms,2.97,,,,$2.97,,2026-08-19T00:00:00-04:00,2026-08-25T23:59:59-04:00,,1107.45,-937.72,1645.72,-1384.36,http://f.wishabi.net/page_items/430608083/1786684102/extra_large.jpg
Giant Tiger,8073014,1031752049,Celery,,1.44,,,,$1.44,,2026-08-12T00:00:00-04:00,2026-08-18T23:59:59-04:00,,1128.47,-182.2,1643.02,-587.3,http://f.wishabi.net/page_items/429857721/1786467947/extra_large.jpg
Giant Tiger,8073014,1031751931,Chapman's frozen novelties,Chapman's,4.97,,,,$4.97,,2026-08-12T00:00:00-04:00,2026-08-18T23:59:59-04:00,,27.62,-518.25,546.92,-951.34,http://f.wishabi.net/page_items/429857692/1786084178/extra_large.jpg
Giant Tiger,8073014,1031751994,Christie crackers,Mr. Christie's,1.99,,,,$1.99,,2026-08-12T00:00:00-04:00,2026-08-18T23:59:59-04:00,,305.0,-1919.09,513.0,-2167.09,http://f.wishabi.net/page_items/429881659/1786084182/extra_large.jpg
Giant Tiger,8073014,1031751925,Clover Leaf canned tuna,Clover Leaf,1.0,,,,$1.0,,2026-08-12T00:00:00-04:00,2026-08-18T23:59:59-04:00,,550.23,-515.45,1069.63,-954.76,http://f.wishabi.net/page_items/429857690/1786084178/extra_large.jpg
Giant Tiger,8082579,1033208404,D'Italiano bread,D'Italiano Italian Bread,2.67,,,,$2.67,,2026-08-19T00:00:00-04:00,2026-08-25T23:59:59-04:00,,1129.0,-44.28,1379.0,-223.28,http://f.wishabi.net/page_items/430655038/1786684110/extra_large.jpg
