store,flyer_id,item_id,name,brand,price,original_price,pre_price_text,post_price_text,display_price,sale_story,valid_from,valid_to,page_number,left,top,right,bottom,cutout_image_url
Loblaws,8074308,1032452800,"12"" TAKE AND BAKE PIZZA, 475-540 G",,8.0,,,,$8.0,,2026-08-14T00:00:00-04:00,2026-08-14T23:59:59-04:00,,9443.72,-1978.77,9908.37,-2452.19,http://f.wishabi.net/page_items/430295687/1786444951/extra_large.jpg
Loblaws,8074308,1032453439,"18 PIECE KOREAN CHICKEN STRIPS, 595 G",,16.0,,,,$16.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,7583.48,-1184.67,8542.75,-1844.31,http://f.wishabi.net/page_items/430295691/1786444954/extra_large.jpg
Loblaws,8074308,1032452304,"9 PIECE CHICKEN TENDER DINNER FOR TWO COMBO, 870 G",,15.0,,,,$15.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,8045.74,-1969.42,8510.43,-2454.24,http://f.wishabi.net/page_items/430295685/1786444949/extra_large.jpg
Loblaws,8074308,1032452762,"ALWAYS PADS 7-92'S OR TAMPAX OR L. TAMPONS, 28-40'S",Always,13.0,,,,$13.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,23926.3,-1892.6,24234.6,-2298.41,http://f.wishabi.net/page_items/430296104/1786444953/extra_large.jpg
Loblaws,8074308,1032448975,APPLE FRITTER DONUT,,6.0,,,,$6.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,14093.3,-989.25,14486.8,-1513.0,http://f.wishabi.net/page_items/430295750/1786444956/extra_large.jpg
Loblaws,8074308,1032454521,ASIAN YELLOW PEARS,,2.0,,,,$2.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,21482.9,-1249.43,21923.0,-1661.21,http://f.wishabi.net/page_items/430296039/1786444953/extra_large.jpg
Loblaws,8074308,1032451180,"ASTRO BALKAN YOGURT, 750 G",Astro,3.75,,,,$3.75,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,25533.7,-1676.65,25818.3,-1847.43,http://f.wishabi.net/page_items/430295953/1786444958/extra_large.jpg
Loblaws,8074308,1032452346,"AURORA CHEESE CRISPZ CHEESE BITES, 60 G",Aurora,6.5,,,,$6.5,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,11227.0,-2024.29,11829.9,-2448.77,http://f.wishabi.net/page_items/430295754/1786444949/extra_large.jpg
Loblaws,8074308,1032450564,"BAKED IN-STORE PRETZELS, 2'S",,4.0,,,,$4.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,12579.5,-2008.02,13152.0,-2446.46,http://f.wishabi.net/page_items/430295743/1786444952/extra_large.jpg
Loblaws,8074308,1032453827,BEEF EYE OF ROUND FAST FRY STEAK,,13.0,,,,$13.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,6242.73,-722.18,6826.74,-1283.81,http://f.wishabi.net/page_items/430295730/1786444952/extra_large.jpg
Loblaws,8074308,1032451956,BEEF RIB FINGER MEAT,,10.0,,,,$10.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,22433.6,-282.02,22893.4,-643.92,http://f.wishabi.net/page_items/430296031/1786444960/extra_large.jpg
Loblaws,8074308,1032454615,"BELLA CASARA BURRATA, 250 G",BELLA CASARA,14.0,,,,$14.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,10656.8,-2007.69,11216.2,-2446.21,http://f.wishabi.net/page_items/430295763/1786444954/extra_large.jpg
Loblaws,8074308,1032535799,"BEN'S ORIGINAL RICE, 1.6 KG",Ben's Original,10.0,,,,$10.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,20513.4,-156.09,20822.6,-491.21,http://f.wishabi.net/page_items/430347718/1786473556/extra_large.jpg
