store,flyer_id,item_id,name,brand,price,original_price,pre_price_text,post_price_text,display_price,sale_story,valid_from,valid_to,page_number,left,top,right,bottom,cutout_image_url
Costco,8089499,1033968742,AT Vector Spinner Carry On by Samsonite,American Tourister,79.99,,,,$79.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,4546.48,-142.78,5365.68,-936.02,http://f.wishabi.net/page_items/430853249/1786991004/extra_large.jpg
Costco,8089499,1033968760,Aiden & Ivy Sereen 4-piece Modular Sofa with Ottoman,Aiden & Ivy Furniture,2199.99,,,,$2199.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,4260.92,-2000.41,4794.55,-2793.65,http://f.wishabi.net/page_items/430853253/1786991008/extra_large.jpg
Costco,8089499,1033968847,"Air Canada - Knox 2.0, Hard-Side Carry-On Spinner Luggage",Air Canada,159.99,,,,$159.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,1878.79,-2314.82,2412.42,-3108.06,http://f.wishabi.net/page_items/430853240/1786991007/extra_large.jpg
Costco,8089499,1033968729,All Clad EZ Clean 3.5 L (3.7 qt.) Pro Deep Fryer,All Clad,199.99,,,,$199.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,18177.8,-1071.59,18997.0,-1864.83,http://f.wishabi.net/page_items/430853350/1786991006/extra_large.jpg
Costco,8089499,1033968864,"Alpena Black Diamond Universal Fit Luxury Seat Cover, 2-pack",Alpena,119.99,,,,$119.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,6071.92,-3217.67,6605.55,-4010.91,http://f.wishabi.net/page_items/430853269/1786991011/extra_large.jpg
Costco,8089499,1033968849,"Alpena Black Padded Universal Fit Luxury Seat Cover, 2-pack",Alpena,129.99,,,,$129.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,6071.92,-1411.97,6605.55,-2205.21,http://f.wishabi.net/page_items/430853263/1786991006/extra_large.jpg
Costco,8089499,1033968846,"Alpena Grey Ultimate Universal Fit Luxury Seat Cover, 2-pack",Alpena,119.99,,,,$119.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,5500.79,-1411.97,6034.42,-2205.21,http://f.wishabi.net/page_items/430853262/1786991006/extra_large.jpg
Costco,8089499,1033968735,"Alpena Red Racer Universal Fit Luxury Seat Cover, 2-pack",Alpena,129.99,,,,$129.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,7311.79,-142.78,8130.99,-936.02,http://f.wishabi.net/page_items/430853273/1786991003/extra_large.jpg
Costco,8088337,1033909278,Always Infinity with FlexFoam Size 2 Menstrual Pads,Always,19.99,,,,$19.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,1878.79,-142.78,2697.99,-936.02,http://f.wishabi.net/page_items/430820220/1786975448/extra_large.jpg
Costco,8089499,1033968736,Amana 30 in. 4.8 cu ft. Electric 4 Element Range with Bake Assist,Amana,794.99,,,,$794.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,12744.8,-509.11,13278.4,-1302.35,http://f.wishabi.net/page_items/430853309/1786991003/extra_large.jpg
Costco,8089499,1033968906,Amana 30 in. 4.8 cu ft. White Electric Range with Self-Clean Option,Amana,794.99,,,,$794.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,15412.5,-1071.59,16231.7,-1864.83,http://f.wishabi.net/page_items/430853326/1786991006/extra_large.jpg
Costco,8089499,1033968853,Appollo Spencer Shower Base,Appollo,339.99,,,,$339.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,1878.79,-3217.67,2412.42,-4010.91,http://f.wishabi.net/page_items/430853243/1786991009/extra_large.jpg
Costco,8088337,1033909255,"Bachan's Japanese BBQ Sauce, 739 mL",Bachan's,12.99,,,,$12.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,7311.79,-2000.41,7845.42,-2793.65,http://f.wishabi.net/page_items/430820260/1786975451/extra_large.jpg
Costco,8089499,1033968965,Beautyrest 35.6 cm (14 in.) Hybrid Mattress,Beautyrest,699.99,,,,$699.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,21131.1,-3217.67,21664.7,-4010.91,http://f.wishabi.net/page_items/430853370/1786991013/extra_large.jpg
Costco,8089499,1033968764,"Bed & Room Porter Portrait Wall Bed with Desk and Two Side Towers, Queen",Bed & Room,3829.99,,,,$3829.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,4832.05,-2000.41,5365.68,-2793.65,http://f.wishabi.net/page_items/430853254/1786991009/extra_large.jpg
Costco,8088337,1033909264,"Bertolli Extra Light Tasting Olive Oil, 3 L",Bertolli,27.99,,,,$27.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,12744.8,-142.78,13564.0,-936.02,http://f.wishabi.net/page_items/430820292/1786975449/extra_large.jpg
Costco,8089499,1033968866,Black Bulldog - Grizzly 5 Truck Bed Slide,Black Bulldog,999.99,,,,$999.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,6643.05,-3217.67,7176.68,-4010.91,http://f.wishabi.net/page_items/430853270/1786991012/extra_large.jpg
Costco,8089499,1033968773,Black Bulldog - Grizzly 6 Truck Bed Slide,Black Bulldog,1049.99,,,,$1049.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,8454.05,-2000.41,8987.68,-2793.65,http://f.wishabi.net/page_items/430853279/1786991008/extra_large.jpg
Costco,8089499,1033968809,Borealis Outdoors - CAMP 1 Backpacking Gas Stove,Borealis Outdoors,99.99,,,,$99.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,10933.8,-142.78,11753.0,-936.02,http://f.wishabi.net/page_items/430853298/1786991003/extra_large.jpg
Costco,8089499,1033968834,Borealis Queen Cabinet Bed with Drawer & Mattress,Borealis,1299.99,,,,$1299.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,3021.05,-509.11,3554.68,-1302.35,http://f.wishabi.net/page_items/430853236/1786991004/extra_large.jpg
Costco,8088337,1033909245,"Bounce Select A Size Dryer Sheets, 400-count",Tide,15.99,,,,$15.99,,2026-08-17T00:00:00-04:00,2026-08-23T23:59:59-04:00,,3689.79,-2000.41,4223.42,-2793.65,http://f.wishabi.net/page_items/430820236/1786975451/extra_large.jpg
