store,flyer_id,item_id,name,brand,price,original_price,pre_price_text,post_price_text,display_price,sale_story,valid_from,valid_to,page_number,left,top,right,bottom,cutout_image_url
Metro,8073382,1031847990,"12 CHICKEN TENDERS, 15 CHICKEN WINGS OR 20 CHICKEN BITES",,11.99,,,,$11.99,,2026-08-13T00:00:00-04:00,2026-08-16T23:59:59-04:00,,2003.18,-2176.48,2289.05,-2315.56,http://f.wishabi.net/page_items/429897376/1786180358/extra_large.jpg
Metro,8073420,1031853659,ACHVA MINI HALVA,,4.99,,,,$4.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,5354.69,-665.68,5521.77,-939.94,http://f.wishabi.net/page_items/429897149/1786149408/extra_large.jpg
Metro,8073420,1031853625,AISH TAMID MEMORIAL CANDLES,,1.0,,,,$1.0,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,3228.57,-153.05,3783.67,-723.69,http://f.wishabi.net/page_items/429897137/1786149411/extra_large.jpg
Metro,8073382,1032133637,ALCAN ALUMINUM FOIL,,6.49,,,,$6.49,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,17158.4,-2097.86,17245.7,-2557.85,http://f.wishabi.net/page_items/430003977/1786169007/extra_large.jpg
Metro,8073382,1032135272,ALMOND PISTACCHIO CAKE,,31.99,,,,$31.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,30733.9,-1577.61,31294.1,-1888.04,http://f.wishabi.net/page_items/429897832/1786168999/extra_large.jpg
Metro,8073420,1031853581,ALPROSE OR TUSCANINI CHOCOLATE BARS,,5.99,,,,$5.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,1400.41,-1018.29,1624.45,-1301.93,http://f.wishabi.net/page_items/429897119/1786149409/extra_large.jpg
Metro,8073420,1031853583,AMSTELVELDER OR ZAVAT SLICED CHEESE,,5.99,,,,$5.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,1258.75,-500.03,1816.41,-1009.46,http://f.wishabi.net/page_items/429897121/1786149411/extra_large.jpg
Metro,8073420,1031853621,ARIEL CHALLAH BREAD ROLLS,,8.99,,,,$8.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,2120.94,-1305.08,2544.1,-1861.33,http://f.wishabi.net/page_items/429897135/1786149409/extra_large.jpg
Metro,8073420,1031853616,ARIEL COOKIES,,6.99,,,,$6.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,2949.48,-741.92,3236.44,-921.41,http://f.wishabi.net/page_items/429897133/1786149408/extra_large.jpg
Metro,8073420,1031853639,ASIF TOASTED SHAPE PASTA,,2.99,,,,$2.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,4915.71,-664.73,5337.85,-1158.42,http://f.wishabi.net/page_items/429897141/1786149402/extra_large.jpg
Metro,8073382,1031973947,ASSORTED CALIFORNIA COMBO OR CALIFORNIA ROLL VARIETY PACK,,11.99,,,,$11.99,,2026-08-13T00:00:00-04:00,2026-08-16T23:59:59-04:00,,1744.0,-2093.39,1976.0,-2183.39,http://f.wishabi.net/page_items/429984956/1786180373/extra_large.jpg
Metro,8073382,1032135036,ASSORTED CALIFORNIA COMBO OR CALIFORNIA ROLL VARIETY PACK,,11.99,,,,$11.99,,2026-08-13T00:00:00-04:00,2026-08-19T23:59:59-04:00,,25220.6,-35.58,26690.4,-1301.09,http://f.wishabi.net/page_items/429897847/1786169003/extra_large.jpg
