store,flyer_id,item_id,name,brand,price,original_price,pre_price_text,post_price_text,display_price,sale_story,valid_from,valid_to,page_number,left,top,right,bottom,cutout_image_url
Nations Fresh Foods,8085181,1033389319,AA-1 Bullet Tuna 680g,AA-1,3.99,,,,$3.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2601.44,-511.4,2842.06,-678.92,http://f.wishabi.net/page_items/430724249/1786753998/extra_large.jpg
Nations Fresh Foods,8085181,1033389418,Aik Cheong White Coffee 600g,Aik Cheong,1.99,,,,$1.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2207.74,-338.35,2369.32,-508.79,http://f.wishabi.net/page_items/430724279/1786754017/extra_large.jpg
Nations Fresh Foods,8085181,1033389364,Ajinomoto Umami Seasoning 454g,Ajinomoto,2.99,,,,$2.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2127.28,-1365.12,2367.58,-1532.08,http://f.wishabi.net/page_items/430724263/1786754007/extra_large.jpg
Nations Fresh Foods,8085181,1033389107,Armstrong Marble Cheese,Armstrong,2.29,,,,$2.29,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1422.71,-852.32,1655.91,-1020.87,http://f.wishabi.net/page_items/430724153/1786753988/extra_large.jpg
Nations Fresh Foods,8085181,1033389121,Armstrong Medium Cheddar,Armstrong,2.29,,,,$2.29,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1656.08,-851.22,1893.65,-1020.3,http://f.wishabi.net/page_items/430724161/1786753994/extra_large.jpg
Nations Fresh Foods,8085181,1033389401,Aroy-D Coconut Milk 400ml,AROY-D,1.59,,,,$1.59,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2126.4,-1191.93,2367.23,-1361.28,http://f.wishabi.net/page_items/430724274/1786754014/extra_large.jpg
Nations Fresh Foods,8083028,1033157085,Aurora Honey,Aurora,6.99,,,,$6.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2128.83,-1534.75,2367.93,-1701.21,http://f.wishabi.net/page_items/430641742/1786665772/extra_large.jpg
Nations Fresh Foods,8085181,1033389326,Aurora Honey 1kg,Aurora,6.99,,,,$6.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2128.8,-1534.7,2367.9,-1701.38,http://f.wishabi.net/page_items/430724251/1786754000/extra_large.jpg
Nations Fresh Foods,8085181,1033389503,Australian Tangerine,,1.99,,,,$1.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3073.72,-1877.89,3315.24,-2043.38,http://f.wishabi.net/page_items/430724335/1786753997/extra_large.jpg
Nations Fresh Foods,8085181,1033389596,Avocados In Bag,,2.99,,,,$2.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3072.5,-2048.52,3314.71,-2214.21,http://f.wishabi.net/page_items/430724362/1786754014/extra_large.jpg
