store,flyer_id,item_id,name,brand,price,original_price,pre_price_text,post_price_text,display_price,sale_story,valid_from,valid_to,page_number,left,top,right,bottom,cutout_image_url
Shoppers Drug Mart,8069919,1031517120,"ABREVA COLD SORE TREATMENT (2g), SENSODYNE BRILLIANT WHITENING (135mL) o REPAIR & PROTECT (75ml) TOOTHPASTE",,,,,,,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2070.28,-1366.54,2261.73,-1638.82,http://f.wishabi.net/page_items/429622631/1785891540/extra_large.jpg
Shoppers Drug Mart,8069919,1032473338,ACTIVIA DRINKABLE YOGURT 8 x 93mL,Activia,6.79,,,,$6.79,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4979.71,-111.66,5377.07,-443.65,http://f.wishabi.net/page_items/430323123/1786466115/extra_large.jpg
Shoppers Drug Mart,8069919,1031492110,ADVIL,Advil,16.49,,,,$16.49,,2026-08-15T00:00:00-04:00,2026-08-16T23:59:59-04:00,,1065.25,-1113.4,1253.87,-1341.68,http://f.wishabi.net/page_items/429625379/1785891548/extra_large.jpg
Shoppers Drug Mart,8069919,1031508140,"ADVIL CHILDREN'S SYRUP (100mL), JUNIOR STRENGTH CHEWABLE TABLETS (20's) or PEDIATRIC DROPS (24mL)",Advil,,,,,,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,9153.05,-455.23,9383.22,-689.68,http://f.wishabi.net/page_items/429624563/1785891553/extra_large.jpg
Shoppers Drug Mart,8069919,1031522199,ADVIL IBUPROFEN PAIN RELIEF PRODUCTS 100's,Advil,14.99,,,,$14.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3465.27,-697.63,3695.36,-921.59,http://f.wishabi.net/page_items/429622559/1785891542/extra_large.jpg
Shoppers Drug Mart,8069919,1031517543,AERIUS (30's - 40's) or CLARITIN (40's - 50's) ALLERGY RELIEF PRODUCTS,,27.99,,,,$27.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2693.28,-1113.79,2885.12,-1386.57,http://f.wishabi.net/page_items/429622455/1785891545/extra_large.jpg
Shoppers Drug Mart,8069919,1031497536,AERIUS or CLARITIN ALLERGY REEF PRODUCTS,,,,,,,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3693.75,-452.88,3923.37,-688.47,http://f.wishabi.net/page_items/429622538/1785891537/extra_large.jpg
Shoppers Drug Mart,8069919,1031539877,ALBERTO or FRUCTIS HAIR STYLING PRODUCTS,,5.99,,,,$5.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,9151.42,-1042.1,9436.57,-1478.54,http://f.wishabi.net/page_items/429624576/1785891561/extra_large.jpg
Shoppers Drug Mart,8069919,1031510561,ALEVEX PAIN RELIEVING ROLL-ON (72g). ASPIRIN DAILY LOW DOSE (100's - 120's) or ALEVE (40's - 100's) PAIN RELIEF PRODUCTS,,15.99,,,,$15.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3748.97,-1067.91,4040.43,-1472.4,http://f.wishabi.net/page_items/429622590/1785891552/extra_large.jpg
Shoppers Drug Mart,8069919,1031497654,ALIGN PROBIOTIC GUMMIES (50's - 60's) or CAPSULES (21's - 28's),Align,29.99,,,,$29.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,7766.88,-753.81,7974.37,-1007.61,http://f.wishabi.net/page_items/429623789/1785891554/extra_large.jpg
Shoppers Drug Mart,8069919,1031505662,"ALLEN'S (1L), DEL MONTE NECTAR or OASIS (960mL) BEVERAGE",,4.0,,,,$4.0,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,18268.7,-1051.91,18522.0,-1517.13,http://f.wishabi.net/page_items/429626057/1785891565/extra_large.jpg
Shoppers Drug Mart,8069919,1031522424,ALWAYS INFINITY (30's - 46's) or RADIANT (26'3 - 42's) PADS,Always,14.49,,,,$14.49,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,9610.2,-1900.44,9840.16,-2140.16,http://f.wishabi.net/page_items/429624578/1785891562/extra_large.jpg
Shoppers Drug Mart,8069919,1031531011,ALWAYS LINERS (116's - 216's) or PADS (28's - 48's),Always,12.99,,,,$12.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,683.85,-2041.93,871.88,-2279.32,http://f.wishabi.net/page_items/429621536/1785891528/extra_large.jpg
Shoppers Drug Mart,8069919,1031505931,"ALWAYS PURE COTTON (12's - 14's), INFINITY (12's) or POCKET (10's) WITH FLEXFOAM PADS",,5.49,,,,$5.49,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,9720.64,-1062.29,10015.0,-1472.74,http://f.wishabi.net/page_items/429624579/1785891563/extra_large.jpg
Shoppers Drug Mart,8069919,1031516830,ALWAYS ULTRA THIN PADS 445-625's,Always,13.99,,,,$13.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3694.37,-2139.67,3922.15,-2371.42,http://f.wishabi.net/page_items/429622578/1785891548/extra_large.jpg
Shoppers Drug Mart,8069919,1031503850,"ANNABELLE PERFECT PLUMPING LIQUID BLUSH, NYX MICRO BROW PENCIL or REVLON COLORSTAY FLEX WEAR CONCEALER",,,,,,,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,19729.5,-127.69,20064.3,-481.94,http://f.wishabi.net/page_items/429626546/1785891581/extra_large.jpg
Shoppers Drug Mart,8069919,1032473362,ANNIE'S MACARONI & CHEESE (170g) or PC READY TO SERVE SOUP (500mL - 540mL),,2.99,,,,$2.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4988.01,-1519.12,5377.59,-1894.04,http://f.wishabi.net/page_items/430323127/1786466118/extra_large.jpg
Shoppers Drug Mart,8069919,1031491981,APPLE,,129.99,,,,$129.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,8735.87,-1593.05,9102.48,-1925.16,http://f.wishabi.net/page_items/429625978/1785891568/extra_large.jpg
Shoppers Drug Mart,8069919,1031507694,APPLE AIRPODS,Apple,199.99,,,,$199.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,8066.07,-1595.37,8400.12,-1927.34,http://f.wishabi.net/page_items/429626454/1785891567/extra_large.jpg
Shoppers Drug Mart,8069919,1031522521,APPLE AIRPODS 4TH GENERATION WITH ACTIVE NOISE CANCELLATION & CHARGING CASE,APPLE AIRPODS,274.99,,,,$274.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,21146.6,-2193.83,21354.0,-2459.65,http://f.wishabi.net/page_items/429626813/1785891580/extra_large.jpg
Shoppers Drug Mart,8069919,1031517006,APPLE AIRPODS PRO 3RD GENERATION with CHARGING CASE,Apple,359.99,,,,$359.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,8394.97,-1605.69,8737.94,-1928.13,http://f.wishabi.net/page_items/429626455/1785891568/extra_large.jpg
Shoppers Drug Mart,8069919,1031507233,APPLE HOMEPOD MINI,Apple,129.99,,,,$129.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,8071.68,-1932.3,8277.13,-2193.65,http://f.wishabi.net/page_items/429626450/1785891565/extra_large.jpg
Shoppers Drug Mart,8069919,1031541779,ARIANA GRANDE CLOUD PINK EAU DE PARFUM,ARIANA GRANDE,110.0,,,,$110.0,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,13248.1,-449.1,13477.4,-687.34,http://f.wishabi.net/page_items/429624480/1785891565/extra_large.jpg
Shoppers Drug Mart,8069919,1031506998,ARMSTRONG CHEESE BLOCK,Armstrong,3.49,,,,$3.49,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5808.44,-1572.63,6154.8,-1927.65,http://f.wishabi.net/page_items/429626461/1785891566/extra_large.jpg
Shoppers Drug Mart,8069919,1031522273,"AUSSIE MIRACLE MOIST PUMP SHAMPOO (778mL), RENPURE or WHOLE BLENDS HAIR CARE PRODUCTS",,8.99,,,,$8.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2314.1,-710.43,2600.76,-1034.38,http://f.wishabi.net/page_items/429622444/1785891536/extra_large.jpg
Shoppers Drug Mart,8069919,1031508166,AVEENO ABSOLUTELY AGELESS or CALM+RESTORE FACIAL MOISTURIZERS,Aveeno,,,,,,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,8067.76,-1110.12,8328.76,-1518.15,http://f.wishabi.net/page_items/429625965/1785891564/extra_large.jpg
Shoppers Drug Mart,8069919,1031516692,"AVEENO BODY WASH (532mL), DEGREE DRY SPRAY (107g) or STICK (74g) ANTIPERSPIRANT/DEODORANT",,8.99,,,,$8.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3170.2,-373.07,3456.84,-700.06,http://f.wishabi.net/page_items/429622445/1785891537/extra_large.jpg
Shoppers Drug Mart,8069919,1031510727,"AVEENO HAND CREAM (97mL), OGX (577mL) or AVEENO (222mL - 227mL) LOTIONS",,8.99,,,,$8.99,,2026-08-15T00:00:00-04:00,2026-08-20T23:59:59-04:00,,20857.9,-124.67,21193.6,-475.39,http://f.wishabi.net/page_items/429626249/1785891580/extra_large.jpg
