store,flyer_id,item_id,name,brand,price,original_price,pre_price_text,post_price_text,display_price,sale_story,valid_from,valid_to,page_number,left,top,right,bottom,cutout_image_url
T&T Supermarket,8082478,1033130898,"ACC MOONCAKE, 175g-200gx4",,24.99,,,,$24.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,389.09,-1846.23,697.91,-2096.11,http://f.wishabi.net/page_items/430585199/1786647072/extra_large.jpg
T&T Supermarket,8082478,1033127335,"ALPHONSO/ALJUICE BEVERAGE, 1.75L",,6.99,,,,$6.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,6562.23,-1993.87,7036.33,-2340.05,http://f.wishabi.net/page_items/430585262/1786647070/extra_large.jpg
T&T Supermarket,8082478,1033127337,"AROY-D COCONUT MILK FOR DESSERT/COOKING, 400 ml",,4.97,,,,$4.97,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,7500.18,-680.75,7983.86,-1129.37,http://f.wishabi.net/page_items/430585256/1786647069/extra_large.jpg
T&T Supermarket,8082478,1033130713,"Asian Legend Dumplings,680g",,12.97,,,,$12.97,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,73.22,-996.04,547.46,-1325.14,http://f.wishabi.net/page_items/430585186/1786647064/extra_large.jpg
T&T Supermarket,8082478,1033148341,BAKERY,,,,,,,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,10145.0,-1876.35,11594.4,-2186.92,http://f.wishabi.net/page_items/430628289/1786647068/extra_large.jpg
T&T Supermarket,8082478,1033127340,"BAMBOO DURIAN STEAMED BUN, 240g",,4.0,,,,$4.0,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,6100.2,-2001.98,6565.59,-2345.95,http://f.wishabi.net/page_items/430585265/1786647071/extra_large.jpg
T&T Supermarket,8082478,1033130043,"BEAUTY OF JOSEON SERUM DYNASTY CREAM, 30ml/ 50ml",,15.97,,,,$15.97,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4773.96,-1392.2,5065.51,-1691.18,http://f.wishabi.net/page_items/430585667/1786647079/extra_large.jpg
T&T Supermarket,8082478,1033130900,BEEF CHUCK ROLL - ROLL,,10.99,,,,$10.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2155.45,-1265.16,2532.98,-1542.7,http://f.wishabi.net/page_items/430585308/1786647084/extra_large.jpg
T&T Supermarket,8082478,1033134888,BEEF OXTAIL,,12.99,,,,$12.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2531.48,-1266.24,2881.54,-1540.31,http://f.wishabi.net/page_items/430585288/1786647072/extra_large.jpg
T&T Supermarket,8082478,1033131165,BITTER MELON,,1.98,,,,$1.98,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2878.71,-76.07,3228.97,-372.64,http://f.wishabi.net/page_items/430585284/1786647069/extra_large.jpg
T&T Supermarket,8082478,1033128344,BLACK ANGUS BEEF RIB EYE STEAK,,16.99,,,,$16.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3574.86,-1271.11,3936.26,-1542.8,http://f.wishabi.net/page_items/430585278/1786647066/extra_large.jpg
T&T Supermarket,8082478,1033131142,BLACK SEEDED TABLE GRAPES,,8.88,,,,$8.88,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3573.84,-381.5,3936.77,-667.29,http://f.wishabi.net/page_items/430585276/1786647065/extra_large.jpg
T&T Supermarket,8082478,1033134753,"BROILED EEL, 340g",,9.99,,,,$9.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,72.6,-662.17,543.63,-994.02,http://f.wishabi.net/page_items/430585192/1786647068/extra_large.jpg
T&T Supermarket,8082478,1033136005,"BURNBRAE FARMS OMEGA PLUS EGGS (LARGE), 12 pcs",,4.97,,,,$4.97,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5068.7,-441.11,5361.75,-762.15,http://f.wishabi.net/page_items/430585664/1786647077/extra_large.jpg
T&T Supermarket,8082478,1033131204,CAJUN STYLE CHICKEN WINGS,,8.99,,,,$8.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5097.53,-1993.35,5391.43,-2254.88,http://f.wishabi.net/page_items/430585678/1786647086/extra_large.jpg
T&T Supermarket,8082478,1033127378,"CALLETON CAKE/TOAST/CAKE ROLL, 288G-480G",,3.99,,,,$3.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,8446.55,-1268.13,8746.31,-1611.81,http://f.wishabi.net/page_items/430585346/1786647072/extra_large.jpg
T&T Supermarket,8082478,1033135930,"CALLETON CAKE/TOAST/CAKE ROLL, 288g-480g",,3.99,,,,$3.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2439.57,-2146.7,2727.67,-2391.17,http://f.wishabi.net/page_items/430585306/1786647083/extra_large.jpg
T&T Supermarket,8082478,1033131184,CARACARA ORANGE,,1.79,,,,$1.79,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2165.21,-385.08,2533.01,-664.51,http://f.wishabi.net/page_items/430585291/1786647074/extra_large.jpg
T&T Supermarket,8082478,1033134833,CERTIFIED ANGUS BEEF CHUCK ROLL,,12.99,,,,$12.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2880.96,-1265.42,3228.81,-1538.25,http://f.wishabi.net/page_items/430585290/1786647073/extra_large.jpg
T&T Supermarket,8082478,1033131195,CERTIFIED ANGUS BEEF SHORT RIB,,13.99,,,,$13.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3227.42,-1269.43,3579.22,-1537.65,http://f.wishabi.net/page_items/430585281/1786647068/extra_large.jpg
T&T Supermarket,8082478,1033133744,"CHACHA COCONUT SUNFLOWER SEEDS, 260g",,2.27,,,,$2.27,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4340.22,-75.85,4751.27,-243.21,http://f.wishabi.net/page_items/430585681/1786647088/extra_large.jpg
T&T Supermarket,8082478,1033135525,"CHERRY GRANDFATHER WALNUT AND DATE CAKE, 350g",,21.99,,,,$21.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1611.71,-1592.7,1938.03,-1841.05,http://f.wishabi.net/page_items/430585197/1786647071/extra_large.jpg
T&T Supermarket,8082478,1033127318,"CHICKEN BRAND PICKLED SOUR MUSTARD, 300g",,4.5,,,,$4.5,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,6094.34,-1160.75,6563.38,-1595.13,http://f.wishabi.net/page_items/430585239/1786647065/extra_large.jpg
T&T Supermarket,8082478,1033131276,CHICKEN WINGETTE,,4.59,,,,$4.59,,2026-08-14T00:00:00-04:00,2026-08-17T23:59:59-04:00,,2880.71,-971.63,3230.52,-1257.14,http://f.wishabi.net/page_items/430585286/1786647071/extra_large.jpg
T&T Supermarket,8082478,1033127333,"CHIN-SU GARLIC AND CHILI SOY SAUCE, 330ml",,1.97,,,,$1.97,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,6560.56,-684.28,7026.16,-1131.28,http://f.wishabi.net/page_items/430585253/1786647068/extra_large.jpg
T&T Supermarket,8082478,1033127381,"CHINAMAID SOYBEAN ROLL, 200g",,4.97,,,,$4.97,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,8132.61,-874.24,8447.0,-1224.33,http://f.wishabi.net/page_items/430585352/1786647073/extra_large.jpg
T&T Supermarket,8082478,1033133747,"CLEAR WATER WILD CAUGHT ARCTIC SURF CLAM, 400g",,7.99,,,,$7.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2878.46,-674.18,3229.47,-958.78,http://f.wishabi.net/page_items/430585282/1786647068/extra_large.jpg
T&T Supermarket,8082478,1033135934,COHO SALMON FILLET,,9.99,,,,$9.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1468.6,-309.58,1936.68,-666.16,http://f.wishabi.net/page_items/430585190/1786647067/extra_large.jpg
T&T Supermarket,8082478,1033135535,"COOKER KING STAINLESS STEEL STOCK POT/ONECOOK STAINLESS STEEL DEEP STOCK POT, 24cm/22cm",,21.99,,,,$21.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5654.06,-1388.04,5959.81,-1692.11,http://f.wishabi.net/page_items/430585649/1786647066/extra_large.jpg
T&T Supermarket,8082478,1033135924,"COOKER KING TITANIUM-IRON ALLOY WOK/PURE TITANIUM WOK, 32 cm",,58.99,,,,$58.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5358.5,-1388.96,5654.55,-1692.77,http://f.wishabi.net/page_items/430585654/1786647070/extra_large.jpg
T&T Supermarket,8082478,1033131191,CROWN BROCCOLI,,1.48,,,,$1.48,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2155.61,-83.04,2533.2,-378.95,http://f.wishabi.net/page_items/430585294/1786647076/extra_large.jpg
T&T Supermarket,8082478,1033136186,Chacha Building Block Set/Tote bag/Pocket Note Book,,,,,,,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4339.75,-243.56,4754.59,-414.66,http://f.wishabi.net/page_items/430585684/1786647090/extra_large.jpg
T&T Supermarket,8082478,1033136068,Chicken Drumstick,,1.99,,,,$1.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,543.65,-665.2,1006.62,-992.8,http://f.wishabi.net/page_items/430585188/1786647066/extra_large.jpg
T&T Supermarket,8082478,1033148328,DAIRY & FROZEN,,,,,,,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,10137.6,-1221.94,11579.6,-1525.11,http://f.wishabi.net/page_items/430628283/1786647066/extra_large.jpg
T&T Supermarket,8082478,1033127307,"DANISA TRADITIONAL BUTTER COOKIES, 908g",,12.97,,,,$12.97,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,6557.02,-1598.41,7032.59,-1988.74,http://f.wishabi.net/page_items/430585230/1786647062/extra_large.jpg
T&T Supermarket,8082478,1033131132,DINO MELON/SANTA CLAUS MELON,,3.99,,,,$3.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,2529.45,-382.13,2880.75,-662.15,http://f.wishabi.net/page_items/430585285/1786647070/extra_large.jpg
T&T Supermarket,8082478,1033134812,DONUT PEACH,,3.99,,,,$3.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,3228.77,-387.34,3576.91,-668.14,http://f.wishabi.net/page_items/430585272/1786647062/extra_large.jpg
T&T Supermarket,8082478,1033130371,"DUBAI CHOCO PORTUGUESE TART, 80gx2",,4.5,,,,$4.5,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4169.44,-1712.58,4602.36,-1983.42,http://f.wishabi.net/page_items/430585669/1786647080/extra_large.jpg
T&T Supermarket,8082478,1033127363,"Durian Crepe Cake, 560g",,20.0,,,,$20.0,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,8126.86,-515.21,8446.75,-858.25,http://f.wishabi.net/page_items/430585334/1786647068/extra_large.jpg
T&T Supermarket,8082478,1033136018,"FU CHENG PANCAKE (SALTY/SESAME), 560g",,,,,,,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5549.98,-238.7,5956.15,-411.26,http://f.wishabi.net/page_items/430585682/1786647089/extra_large.jpg
T&T Supermarket,8082478,1033134246,"FUKU SUPERIOR SOUP INSTANT RICE NOODLE/ NOODLE, 65g/ 90gx5",,7.5,,,,$7.5,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,4177.04,-1075.82,4478.34,-1386.41,http://f.wishabi.net/page_items/430585651/1786647068/extra_large.jpg
T&T Supermarket,8082478,1033127389,"FULINMEN WU CHANG RICE, 10kg",,36.97,,,,$36.97,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,9040.23,-876.63,9339.3,-1218.45,http://f.wishabi.net/page_items/430585358/1786647075/extra_large.jpg
T&T Supermarket,8082478,1033131154,"FULL MOON WHITE LOTUS PASTE WITH EGG YOLK MOONCAKE, 160GX4",,15.99,,,,$15.99,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,1310.67,-1593.82,1615.53,-1844.79,http://f.wishabi.net/page_items/430585202/1786647074/extra_large.jpg
T&T Supermarket,8082478,1033131297,"Fu Cheng Pancake (Salty/Sesame),560g",,7.55,,,,$7.55,,2026-08-14T00:00:00-04:00,2026-08-20T23:59:59-04:00,,5550.93,-75.92,5956.31,-243.31,http://f.wishabi.net/page_items/430585683/1786647089/extra_large.jpg
