store,product_name,price,unit,size,page,source_raw_text
freshco,See the full flyer at FreshCo,1.77,,,1,See the full flyer at FreshCo.com SAVE $102 177
freshco,Scene Quaker Chewy or Dipps Granola,1.77,g,,1,SAVE 52¢ 177 229 without Scene+ Quaker Chewy or Card Dipps Granola Bars 120-156 g
freshco,Scene Quaker Chewy or Dipps Granola,2.29,,,1,177 229 without Scene+ Quaker Chewy or Card Dipps Granola Bars 120-156 Barres SAVE $622 UP TO 1077
freshco,Campbell's Soup Selected Varieties Soupe ONLY,5.77,ml,,1,Campbell's Soup 284 mL Selected Varieties Soupe ONLY 577 Gay Lea Butter
freshco,Salted or Unsalted Beurre Sealtest or,3.77,g,,1,"Salted or Unsalted 454 g Beurre SAVE UP $122 TO 377 Sealtest 5%, 10% or"
freshco,McCaf K-Cup Pods re Caf Kellog,5.77,pk,,1,McCafé K-Cup Pods 12 pk reg 15.99-16.99 Café SAVE $172 577 Kellogg's Eggo Waffles 560 g or
freshco,Sealtest or Cream Cr me,4.73,ml,,1,"Sealtest 5%, 10% or 35 % Cream 473 mL-1 L Crème"
freshco,Cr me yo,1.0,,,1,Crème 100 when yo u buy 2 SAVE $122 377
freshco,Gaufres OF yo,1.0,,,1,"Gaufres 1,000 = $10 OF 100 when yo u buy 2 SAVE $280 597"
freshco,yo Core Power Protein Shake Bottles,3.77,g,,1,100 when yo u buy 2 SAVE $122 377 Core Power 26 g Protein Shake Bottles 414 mL reg 4.99
freshco,yo Black Diamond Cheestrings re,5.97,pk,,1,100 when yo u buy 2 SAVE $280 597 Black Diamond Cheestrings 12-16 pk reg 8.77
freshco,yo Pearl Millin Company Pancake Mix,3.77,g,,1,100 when yo u buy 2 SAVE 52¢ 377 Pearl Milling Company Pancake Mix 905 g or Syrup 710 mL reg 4.29
freshco,Black Diamond Cheestrings re Fromage effilochable,2.0,pk,,1,Black Diamond Cheestrings 12-16 pk reg 8.77 Fromage effilochable 200 when you buy 1 SAVE UP $722 TO 2177
freshco,Core Power Protein Shake Bottles re,1.5,g,,1,Core Power 26 g Protein Shake Bottles 414 mL reg 4.99 Boisson fouettée protéinée 150 when yo u buy 3 SAVE $122 377
freshco,prot in yo Crave Frozen Meals,3.77,g,,1,protéinée 150 when yo u buy 3 SAVE $122 377 Crave Frozen Meals 200-340 g
freshco,effilochable Nestl Nido Nutritional Drink,21.77,g,,1,effilochable 200 when you buy 1 SAVE UP $722 TO 2177 Nestlé Nido Nutritional Drink 850 g
freshco,Crave Frozen Meals re Repas surgel,1.0,g,,1,Crave Frozen Meals 200-340 g reg 4.99 Repas surgelés 100 when yo u buy 2 SAVE UP TO $322 577
freshco,Bandelettes de test de glyc mie,3.77,g,,1,Bandelettes de test de glycémie 100 when yo u buy 2 SAVE UP TO $122 377 Degree Solid Antiperspirant or Deodorant 48-76 g Selected Varieties reg 4.49-4.99
